0,Imagen,Nombre,Desc (ES),Desc (EN),Count,Points,Points A,Points B,Points C,Points D,Points E
16,,Mikeskiky,"Mikeskiky es un pequeño monstruo esférico de un solo ojo, siempre emocionado por todo. Le encanta saludar moviendo los brazos y suele acercarse a cualquiera sin miedo. A pesar de su tamaño, tiene una energía increíble y puede correr y saltar sin cansarse. Se divierte haciendo sonidos graciosos y bailando de forma muy exagerada. Su cuerno único le da un toque travieso y adorable. Aunque a veces se distrae con facilidad, siempre vuelve con una sonrisa enorme. Es el monstruo perfecto para animar cualquier momento.","Mikeskiky is a small, spherical, one-eyed monster who's always excited about everything. He loves to wave his arms and is always approaching anyone without fear. Despite his size, he has incredible energy and can run and jump without getting tired. He enjoys making funny sounds and dancing in a very exaggerated way. His unique horn gives him a mischievous and adorable look. Although he sometimes gets easily distracted, he always comes back with a huge smile. He's the perfect monster to brighten up any moment.",514,2,,,,2,
17,,Mikesky,"Mikesky es la evolución más alta y expresiva de Mikeskiky, manteniendo su enorme ojo pero adquiriendo formas más alargadas y movimientos más ágiles. Es muy sociable y siempre está buscando nuevos juegos que incluir a todo el mundo. Su lengua traviesa suele asomarse cuando se emociona, algo que ocurre prácticamente todo el tiempo. A pesar de parecer algo desordenado, tiene una gran memoria para rutas, caminos y lugares interesantes.","Mikesky is the tallest and most expressive evolution of Mikeskiky, retaining his enormous eye but acquiring a more elongated shape and more agile movements. He is very sociable and is always looking for new games to include everyone in. His mischievous tongue often sticks out when he gets excited, which happens practically all the time. Despite appearing somewhat disorganized, he has a great memory for routes, paths, and interesting places.",444,3,,,,3,
18,,Puccino,"Puccino es un monstruito azul pequeño con dos ojos grandes llenos de sorpresa constante. Sus movimientos son rápidos y algo nerviosos, como si siempre tuviera prisa por descubrir algo nuevo. Aunque aparenta estar asustado, en realidad es muy curioso y le encanta investigar cualquier cosa brillante. Sus patitas rosadas lo ayudan a correr velozmente, aunque suele tropezar. Tiene una voz aguda que usa para llamar a sus amigos cuando encuentra algo emocionante. A pesar de su tamaño, tiene una valentía encantadora que siempre sorprende.","Puccino is a tiny blue monster with two big eyes that are always full of wonder. His movements are quick and a little nervous, as if he's always in a hurry to discover something new. Although he appears scared, he's actually very curious and loves to investigate anything shiny. His pink paws help him run swiftly, though he often trips. He has a high-pitched voice that he uses to call his friends when he finds something exciting. Despite his size, he has an endearing bravery that always surprises.",501,1,,,,,1
19,,Puccio,"Puccio es la evolución más alta y encantadora de Puccino. Conserva sus ojos enormes y curiosos, pero ahora posee brazos largos con los que abraza a todos sin aviso. Es muy expresivo y suele mover los brazos para saludar, celebrar o pedir atención. Su personalidad es alegre, amistosa y juguetona, lo que lo convierte en el centro de cualquier reunión. Le gusta bailar y animar a los demás cuando están tristes. Aunque todavía es algo torpe, tiene una confianza nueva que lo vuelve adorable y divertido.","Puccio is Puccino's tallest and most charming evolution. He retains his enormous, curious eyes, but now possesses long arms with which he hugs everyone without warning. He is very expressive and often waves his arms to greet, celebrate, or ask for attention. His personality is cheerful, friendly, and playful, making him the life of any gathering. He loves to dance and cheer others up when they are sad. Although he is still somewhat clumsy, he has a newfound confidence that makes him adorable and fun.",505,3,,,,,3
20,,Bly,"Bly es un pequeño monstruo amarillo-azulado con cuerpo en forma de engranaje o galleta, lo que lo hace destacar entre los demás. Sus ojos grandes observan todo con una mezcla de inocencia y desconcierto. Es tranquilo, caminando despacio y analizando cada detalle con paciencia. A Bly le encanta coleccionar objetos pequeños que encuentra tirados, especialmente cosas redondas que combinan con él. Es amable, tímido y nunca busca conflicto. Su suavidad hace que todos confíen en él.","Bly is a small, blue-yellow monster with a body shaped like a gear or a cookie, which makes him stand out from the rest. His large eyes observe everything with a mixture of innocence and bewilderment. He is calm, walking slowly and patiently analyzing every detail. Bly loves collecting small objects he finds lying around, especially round things that match his personality. He is kind, shy, and never seeks conflict. His gentle nature makes everyone trust him.",462,2,,,2,,
21,,Robbie,"Robbie es un monstruo verde formado por tres cabezas cuadradas conectadas por brazos delgados y muy activos. Cada cabeza tiene su propia expresión y personalidad, lo que lo convierte en una criatura caótica pero encantadora. A veces discuten entre ellas, pero siempre acaban riéndose juntas. Es muy energético, corre por todas partes y le encanta hacer bromas. Aunque pueda parecer travieso, nunca quiere hacer daño. Su espíritu juguetón y su enorme entusiasmo hacen que cualquier lugar se vuelva más divertido cuando él aparece.","Robbie is a green monster made up of three square heads connected by thin, very active arms. Each head has its own expression and personality, making him a chaotic but charming creature. They sometimes argue with each other, but they always end up laughing together. He's very energetic, runs around everywhere, and loves to play pranks. Although he may seem mischievous, he never means any harm. His playful spirit and boundless enthusiasm make any place more fun when he appears.",481,3,,3,,,
22,,Cakey,"Cakey es un monstruo con forma de pastelito dorado, dulce y tierno como su apariencia. Sus ojos grandes observan todo con calma y su caminar es suave, casi silencioso. Siempre huele ligeramente a vainilla, lo que hace que otros monstruos lo sigan sin darse cuenta. Es amable, cariñoso y le encanta ayudar. Aunque no habla mucho, expresa muchísimo con sus gestos. Le gusta sentarse al sol y dejar que su superficie tibia haga sentir cómodos a quienes se recuestan a su lado. Es pura ternura.","Cakey is a monster shaped like a golden cupcake, as sweet and cuddly as he looks. His big eyes calmly observe everything, and his walk is soft, almost silent. He always smells faintly of vanilla, which makes other monsters follow him without realizing it. He is kind, affectionate, and loves to help. Although he doesn't talk much, he expresses a great deal with his gestures. He likes to sit in the sun and let his warm surface make those who lie down next to him feel comfortable. He is pure tenderness.",505,2,,,,2,
23,,Chonkichu,"Chonkichu es un  adorable bicho parece una mezcla ilegal entre dragón, perrito y peluche poseído por la ternura. Camina rechoncho, sonríe como si supiera un secreto cósmico y probablemente queme aldeas solo por accidente. Sus orejas dicen “abrázame”, su cola dice “corre”, y su mirada dice “he comido tus galletas”. Es inofensivo… hasta que no lo es. Además, ronca, babea y cree firmemente que es un héroe legendario del desayuno eterno feliz.","Chonkichu is an adorable little creature that looks like an illegal cross between a dragon, a puppy, and a plush toy possessed by cuteness. He waddles around, smiles like he knows some cosmic secret, and probably burns down villages by accident. His ears say ""hug me,"" his tail says ""run,"" and his gaze says ""I ate your cookies."" He's harmless... until he isn't. Plus, he snores, drools, and firmly believes he's a legendary hero of the eternally happy breakfast.",464,3,,,,,3
24,,Kiff,"Kiff es un pequeño felino mágico de pelaje lavanda que siempre parece sorprendido por todo lo que ve. Sus enormes ojos redondos reflejan una curiosidad infinita y un corazón dulce, dispuesto a confiar incluso en criaturas más grandes que él. Le encanta explorar rincones ocultos, coleccionar hojas brillantes y acurrucarse en lugares cálidos. Las marcas doradas de su cuerpo reaccionan a sus emociones, iluminándose cuando está feliz o emocionado. Aunque tímido, Kiff siempre demuestra valentía cuando alguien necesita cariño, apoyo o compañía de verdad.","Kiff is a small, magical, lavender-furred feline who always seems amazed by everything he sees. His enormous, round eyes reflect boundless curiosity and a sweet heart, ready to trust even creatures larger than himself. He loves exploring hidden corners, collecting shiny leaves, and snuggling up in warm places. The golden markings on his body react to his emotions, lighting up when he's happy or excited. Though shy, Kiff always shows courage when someone truly needs affection, support, or companionship.",507,1,,2,,,
25,,Kiffly,"Kiffy conserva la ternura de Kiff, pero ahora muestra una postura confiada y tranquila que revela lo mucho que ha crecido. Sus ojos grandes mantienen esa chispa curiosa, aunque ahora comprenden mejor el mundo que lo rodea. Su pelaje esponjoso brilla con tonos suaves, y sus marcas doradas se vuelven más intensas cuando protege a sus amigos. ","Kiffy retains Kiff's cuteness, but now displays a confident and calm demeanor that reveals how much he has grown. His large eyes still hold that curious spark, though they now understand the world around him much better. His fluffy fur shines with soft hues, and his golden markings become more intense when he's protecting his friends.",336,2,,3,,,
26,,Pichuly,"Pichuly es una pequeña criatura diurna/nocturna, parecida a un roedor con alas. Su cuerpo amarillo y azul resalta sus mejillas anaranjadas. Sus orejas grandes captan hasta el más mínimo sonido, y aunque parece presumido por sus largas pestañas, en realidad es juguetón y pícaro. Puede planear distancias cortas con su ala-manta.","Pichuly is a small, diurnal/nocturnal creature, resembling a rodent with wings. Its yellow and blue body highlights its orange cheeks. Its large ears pick up even the faintest sounds, and although it may seem boastful with its long eyelashes, it is actually playful and mischievous. It can glide short distances using its wing-blanket.",335,3,,,3,,
27,,Gemelados,"Gemelados es pura dulzura con patas inexistentes. Dos cabecitas de crema viven abrazadas para siempre, compartiendo una cereza como símbolo de su amistad eterna. Siempre sonríen, incluso cuando se derriten un poco por el calor del cariño. No atacan, no muerden y no juzgan: solo existen para hacer el mundo más tierno, un lametón de felicidad a la vez.","Gemelados is pure sweetness with no legs. Two little cream heads live forever embraced, sharing a cherry as a symbol of their eternal friendship. They always smile, even when they melt a little from the warmth of affection. They don't attack, they don't bite, and they don't judge: they only exist to make the world more tender, one lick of happiness at a time.",362,3,,,,,3
28,,Chefairy,"Chefairy es un monstruo rosado y esponjoso, siempre con una bebida o algún postre en la mano. Tiene un carácter dulce y amable, como un pequeño chef mágico. Su cuello mullido guarda aromas deliciosos, y es experto en preparar alimentos que recuperan energía. Es sociable, tranquilo y muy protector con los más pequeños.","Chefairy is a pink, fluffy monster, always with a drink or some dessert in his hand. He has a sweet and kind nature, like a little magical chef. His fluffy neck holds delicious aromas, and he's an expert at preparing energy-restoring foods. He's sociable, calm, and very protective of little ones.",297,3,,,,,3
29,,Cosmo,"Cosmo es una criatura marina-espacial con tentáculos que se mueven con agilidad. Su cuerpo azul celeste y ojos brillantes lo hacen ver misterioso. Aunque tiene cara de gruñón, en realidad es muy expresivo y un poco dramático. Puede girar sobre sí mismo creando remolinos acuáticos o energéticos. Sus dos cuernos actúan como antenas sensoriales.","Cosmo is a marine-space creature with agile tentacles. His sky-blue body and glowing eyes give him a mysterious appearance. Although he has a grumpy face, he is actually very expressive and somewhat dramatic. He can spin, creating aquatic or energy vortices. His two horns act as sensory antennae.",297,3,,3,,,
30,,Nubiel,"Nubiel es una nubecita traviesa llegada de un cielo que claramente no sigue las normas meteorológicas. Flota dando saltitos, ríe con una boca demasiado grande para su cuerpo y observa el mundo con su único ojo curioso, siempre abierto a problemas adorables. Aunque parece blandito e inofensivo, Nubiel puede soltar descargas de energía juguetona cuando se emociona. Le encantan los colores, el caos suave y asustar solo “un poquito” para luego pedir perdón con una sonrisa.","Nubiel is a mischievous little cloud from a sky that clearly doesn't follow the rules of weather. He floats along, hopping about, laughing with a mouth too big for his body, and observing the world with his one curious eye, always open to adorable problems. Although he seems soft and harmless, Nubiel can unleash bursts of playful energy when he gets excited. He loves colors, gentle chaos, and giving people just ""a little"" of a scare before apologizing with a smile.",470,2,,,2,,
31,,Didog,"Didog es un monstruo tierno y gordito, con pelaje rosado y detalles verdes. Es curioso, tranquilo y disfruta comiendo o explorando lugares calmados. Su larga cola verde le ayuda a mantener el equilibrio cuando se sorprende (lo cual sucede seguido). A pesar de su aspecto dulce, puede ser sorprendentemente rápido cuando algo lo entusiasma.","Didog is a cute, chubby monster with pink fur and green markings. He's curious, calm, and enjoys eating or exploring quiet places. His long green tail helps him keep his balance when he's startled (which happens often). Despite his sweet appearance, he can be surprisingly fast when something excites him.",305,2,,,2,,
32,,Foxito,"Foxito es famoso por sus siestas interminables. Al tener un cuerpo tan largo y flexible, podía enroscarse de tal forma que parecía una simple roca cubierta de musgo, engañando a cualquier depredador.
Una tarde, un fuerte viento atrapó a un pequeño Xylen que volaba cerca, enredándolo en las copas de un sauce. Foxito, al oír el alboroto, no usó patas para subir, sino que estiró su cuerpo como un resorte elástico. Trepó por el tronco como una espiral de seda y, con un suave empujón de su nariz roja, liberó al planeador. ","Foxito is famous for his endless naps. With his long, flexible body, he could curl up in such a way that he looked like a simple moss-covered rock, deceiving any predator.
One afternoon, a strong wind caught a small Xylen flying nearby, entangling it in the tops of a willow tree. Foxito, hearing the commotion, didn't use his paws to climb, but stretched his body like an elastic spring. He climbed the trunk like a silken spiral and, with a gentle nudge of his red nose, freed the glider. ",491,1,,1,,,
33,,Foxake,"Tras años protegiendo el Bosque de los Susurros, la energía de la naturaleza provocó un cambio en el cuerpo de Foxito. Sus cortas orejas crecieron y su piel se cubrió de marcas púrpuras que vibraban con el viento. Así nació Foxake.
Ya no solo se deslizaba por los troncos; ahora, Foxake podía detectar vibraciones a kilómetros de distancia gracias a sus nuevas y largas orejas. Durante una gran tormenta, el río se desbordó amenazando el nido de los Xylen.","After years of protecting the Whispering Forest, the energy of nature caused a change in Foxito's body. His short ears grew, and his skin became covered in purple markings that vibrated in the wind. Thus, Foxake was born. No longer just gliding along tree trunks, Foxake could now detect vibrations from miles away thanks to his new, long ears. During a great storm, the river overflowed, threatening the Xylen nest.",416,3,,3,,,
34,,Puppai,"Esta es la historia de Puppai, un espíritu juguetón que vive en el Bosque de los Botones. A diferencia de otros guardianes, Puppai no tiene ojos de cristal, sino dos botones turquesas que encontró en el costurero de una abuela bondadosa.
Una tarde, el viento del norte sopló tan fuerte que las hojas de los árboles perdieron su color. Puppai, con su energía inagotable, empezó a saltar de rama en rama.","This is the story of Puppai, a playful spirit who lives in the Button Forest. Unlike other guardians, Puppai doesn't have glass eyes, but rather two turquoise buttons he found in a kind grandmother's sewing box.
One afternoon, the north wind blew so hard that the leaves on the trees lost their color. Puppai, with his inexhaustible energy, began to leap from branch to branch. ",378,2,,,2,,
35,,Rami,"Rami es un bichito verde mitad mono, mitad planta, totalmente listo para causar ternura. Tiene orejas con espirales hipnóticas, una hojita en la cabeza que funciona como antena de buenas vibras y ojos que siempre parecen sorprendidos. Camina dando saltitos torpes y lleva un collar de hojas que lo hace parecer un mini guardián del bosque. Es experto en robar galletas sin que puedas enojarte.","Rami is a little green creature, half monkey, half plant, absolutely ready to melt your heart. He has ears with hypnotic spirals, a little leaf on his head that acts as a good vibe antenna, and eyes that always seem surprised. He walks with clumsy hops and wears a necklace of leaves that makes him look like a mini forest guardian. He's an expert at stealing cookies without you getting mad.",393,3,,,,3,
36,,Xylen,"En los Arrecifes Flotantes, Xylen no era como los demás peces. Mientras su cardumen se mantenía bajo el agua, ella pasaba horas mirando hacia el cielo rosado. Sus amigos se burlaban de sus enormes orejas-aleta, pero Xylen sabía que servían para algo más que nadar.
Un día, una corriente de aire mágico golpeó la superficie. Aprovechando el impulso, Xylen saltó y, en lugar de caer, batió sus aletas con fuerza.","In the Floating Reefs, Xylen wasn't like the other fish. While her school stayed underwater, she spent hours gazing up at the pink sky. Her friends made fun of her enormous ear-fins, but Xylen knew they were for more than just swimming.
One day, a magical gust of wind hit the surface. Using the momentum, Xylen leaped up and, instead of falling, flapped her fins powerfully.",375,2,,2,,,
37,,Viiipsy,"Viipsy es un monstruito rosa lleno de energía, con brazos flexibles y expresivos que usa para saludar, bailar y hacer travesuras. Sus ojos grandes, con forma peculiar, le permiten ver cosas que otros no notan, convirtiéndolo en un maestro para encontrar objetos perdidos. Siempre está en movimiento, riendo, cantando y creando juegos nuevos para todos. Tiene un carácter juguetón y amistoso, aunque a veces exagera su entusiasmo y termina enredado en sus propias ocurrencias.","Viipsy is a little pink monster full of energy, with flexible and expressive arms that he uses to wave, dance, and play pranks. His large, peculiarly shaped eyes allow him to see things others miss, making him a master at finding lost objects. He's always on the go, laughing, singing, and creating new games for everyone. He has a playful and friendly nature, although sometimes he gets carried away with his enthusiasm and ends up tangled in his own antics.",459,1,,,3,,
38,,Viiipsion,"La evolución de Viipsy muestra un cuerpo más grande y firme, aunque conserva su energía alocada y contagiosa. Sus brazos se vuelven más fuertes y expresivos, capaces de abrazar, levantar y animar a cualquiera. Sus ojos cambian ligeramente, reflejando seguridad y un toque de picardía constante. Aunque ha crecido, sigue siendo juguetón, pero ahora sabe controlar mejor sus impulsos. Le encanta guiar a los más pequeños, inventar juegos cooperativos y mantener el ánimo alto del grupo.","Viipsion reveals a larger, more robust body, though she retains her infectious, boisterous energy. Her arms become stronger and more expressive, capable of hugging, lifting, and cheering anyone up. Her eyes change slightly, reflecting confidence and a touch of mischief. Although she has grown, she remains playful, but now she knows how to better control her impulses. She loves to guide the younger ones, invent cooperative games, and keep the group's spirits high.",467,2,,,3,,
39,,Katty,"Katty cayó del cielo como una bola amarilla con demasiada actitud para tan poco control. Giró, chilló y aterrizó rodando, enfadada con el mundo y consigo misma. Tenía orejas puntiagudas, mejillas marcadas y una expresión que decía “esto no estaba en el plan”.
A diferencia de Bum, Katty no practicaba la paciencia: practicaba el impulso. Saltaba primero y pensaba después. Cada caída la dejaba gruñendo, pero también aprendiendo. Porque aunque protestara, siempre se levantaba.","Katty fell from the sky like a yellow ball with too much attitude for so little control. She spun, squealed, and landed rolling, angry at the world and herself. She had pointy ears, bulging cheeks, and an expression that said, 'This wasn't part of the plan.'
Unlike Bum, Katty didn't practice patience; she practiced momentum. She jumped first and thought later. Every fall left her grumbling, but also learning. Because even though she protested, she always got back up.",471,2,,2,,,
